model,corruption,severity,accuracy
CutMix(alpha=1.0),gaussian_blur,4,54.56
CutMix(alpha=1.0),gaussian_blur,5,42.91
CutMix(alpha=1.0),spatter,1,76.9
CutMix(alpha=1.0),spatter,2,71.61
CutMix(alpha=1.0),spatter,3,67.22
CutMix(alpha=1.0),spatter,4,72.09
CutMix(alpha=1.0),spatter,5,63.66
CutMix(alpha=1.0),saturate,1,75.01
CutMix(alpha=1.0),saturate,2,70.92
CutMix(alpha=1.0),saturate,3,77.42
CutMix(alpha=1.0),saturate,4,71.68
CutMix(alpha=1.0),saturate,5,64.86
